sku,main_category,sub_category,child_category,product_name,product_feature_image,product_description,current_price,previous_price,stock,variation,variation stock,variation price,tags,meta_tag,meta_description,attibutes,details,user_id,size_pre_price,size_image,short_details,youtube,slug,other_image,status,minPrice,maxPrice
AARIC00030,Imitation Jewellery,Necklace,,Tradition Goddess Lakshmi Choker Set,https://shop.southindiajewels.com/wp-content/uploads/2020/12/Tradition-Goddess-Lakshmi-Choker-Set-01.jpg,This is a test product,1,1,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,46,,,This is a test product,,,,1,1,1
AARIC00089,Imitation Jewellery,Necklace,,Premium Quality Designer Peacock Choker,https://shop.southindiajewels.com/wp-content/uploads/2020/06/Premium-Quality-Designer-Peacock-Choker-01-1-scaled.jpg,This is a test product,2,2,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,46,,,This is a test product,,,,1,2,2
AARIC00093,Imitation Jewellery,Necklace,,Gorgeous 4 Layered AD Stone High Neck Star Choker,https://shop.southindiajewels.com/wp-content/uploads/2020/06/Gorgeous-4-Layered-AD-Stone-High-Neck-Star-Choker-01.jpg,This is a test product,3,3,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,46,,,This is a test product,,,,1,3,3
AARIC00097,Imitation Jewellery,Necklace,,American Diamond Star Design Three Layered Choker,https://shop.southindiajewels.com/wp-content/uploads/2020/12/American-Diamond-Star-Design-Three-Layered-Choker-01.jpg,This is a test product,4,4,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,46,,,This is a test product,,,,1,4,4
AARIC00098,Imitation Jewellery,Necklace,,American Diamond Two Layered Star Design Choker,https://shop.southindiajewels.com/wp-content/uploads/2020/06/American-Diamond-Two-Layered-Star-Design-Choker-01.jpg,This is a test product,5,5,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,46,,,This is a test product,,,,1,5,5
AARIC00129,Imitation Jewellery,Necklace,,Traditional Wear Designer Choker Set,https://shop.southindiajewels.com/wp-content/uploads/2020/09/Traditional-Wear-Designer-Choker-Set-01-scaled.jpg,This is a test product,6,6,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,46,,,This is a test product,,,,1,6,6
ABHIC00036,Imitation Jewellery,Necklace,,Traditional Floral Design Choker,https://shop.southindiajewels.com/wp-content/uploads/2021/03/Traditional-Floral-Design-Choker-01-scaled.jpg,This is a test product,7,7,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,63,,,This is a test product,,,,1,7,7
ABHIC00037,Imitation Jewellery,Necklace,,Trendy Emerald & CZ Stone Choker,https://shop.southindiajewels.com/wp-content/uploads/2021/03/Trendy-Emerald-CZ-Stone-Choker-01-scaled.jpg,This is a test product,8,8,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,63,,,This is a test product,,,,1,8,8
ABHIC00038,Imitation Jewellery,Necklace,,Beautiful Peacock Design Choker,https://shop.southindiajewels.com/wp-content/uploads/2021/03/Beautiful-Peacock-Design-Choker-scaled.jpg,This is a test product,9,9,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,63,,,This is a test product,,,,1,9,9
ABHIC00039,Imitation Jewellery,Necklace,,Premium Antique Choker With Earrings,https://shop.southindiajewels.com/wp-content/uploads/2021/03/Premium-Antique-Choker-With-Earrings-scaled.jpg,This is a test product,10,10,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,63,,,This is a test product,,,,1,10,10
ACCIB00369,Imitation Jewellery,Necklace,,Beautiful Rose Gold AD Stone Bracelet,https://shop.southindiajewels.com/wp-content/uploads/2021/04/Beautiful-Rose-Gold-AD-Stone-Bracelet-scaled.jpg,This is a test product,11,11,20,,,,"Imitation Bangles,Imitation Bracelet",,,,This is a test product,48,,,This is a test product,,,,1,11,11
ACCIB00370,Imitation Jewellery,Necklace,,Gorgeous Rose Gold AD Stone Bracelet,https://shop.southindiajewels.com/wp-content/uploads/2021/04/Gorgeous-Rose-Gold-AD-Stone-Bracelet-scaled.jpg,This is a test product,12,12,20,,,,"Imitation Bangles,Imitation Bracelet",,,,This is a test product,48,,,This is a test product,,,,1,12,12
ACCIC00022,Imitation Jewellery,Necklace,,Short Antique Choker Necklace,https://shop.southindiajewels.com/wp-content/uploads/2020/01/Ruby-white-Antique-gold-finish-choker-01.jpg,This is a test product,13,13,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,48,,,This is a test product,,,,1,13,13
ACCIC00034,Imitation Jewellery,Necklace,,Traditional Beaded Choker,https://shop.southindiajewels.com/wp-content/uploads/2020/02/Traditional-Beaded-Choker-01.jpg,This is a test product,14,14,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,48,,,This is a test product,,,,1,14,14
ADHIC00003,Imitation Jewellery,Necklace,,Beautiful Gold Beads Choker,https://shop.southindiajewels.com/wp-content/uploads/2021/01/Beautiful-Gold-Beads-Choker-2-scaled.jpg,This is a test product,15,15,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,61,,,This is a test product,,,,1,15,15
ADHIC00006,Imitation Jewellery,Necklace,,Antique Green Ruby Lakshmi Choker,https://shop.southindiajewels.com/wp-content/uploads/2021/01/Antique-Green-Ruby-Lakshmi-Choker-2-scaled.jpg,This is a test product,16,16,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,61,,,This is a test product,,,,1,16,16
ADHIC00007,Imitation Jewellery,Necklace,,Beautiful Ruby Lakshmi Choker,https://shop.southindiajewels.com/wp-content/uploads/2021/01/Beautiful-Ruby-Lakshmi-Choker-scaled.jpg,This is a test product,17,17,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,61,,,This is a test product,,,,1,17,17
ADHIC00008,Imitation Jewellery,Necklace,,Antique Lakshmi Pearl Choker,https://shop.southindiajewels.com/wp-content/uploads/2021/01/Antique-Lakshmi-Pearl-Choker-scaled.jpg,This is a test product,18,18,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,61,,,This is a test product,,,,1,18,18
ADHIC00009,Imitation Jewellery,Necklace,,Pretty Peacock Design Choker,https://shop.southindiajewels.com/wp-content/uploads/2021/01/Pretty-Peacock-Design-Choker-scaled.jpg,This is a test product,19,19,20,,,,"Imitation Choker,Imitation Necklace",,,,This is a test product,61,,,This is a test product,,,,1,19,19
AJPIB00197,Imitation Jewellery,Necklace,,Classic Lakshmi Coin Bangle,https://shop.southindiajewels.com/wp-content/uploads/2020/11/Classic-Lakshmi-Coin-Bangle-2-scaled.jpg,This is a test product,20,20,20,,,,Imitation Bangles,,,,This is a test product,38,,,This is a test product,,,,1,20,20
